fips_code,jurisdiction_name,state_abbr,state_full,region,c1a,c1b,c1c,c1f,c8a,c9a,mail_return_rate,mail_acceptance_rate,mail_rejection_rate,f1d,mail_vote_pct
0100100000,AUTAUGA COUNTY,AL,Alabama,South,1822,NA,NA,NA,1670,14,NA,NA,NA,1670,5.88
0100300000,BALDWIN COUNTY,AL,Alabama,South,8902,NA,NA,NA,7771,187,NA,NA,NA,7771,6.34
0100500000,BARBOUR COUNTY,AL,Alabama,South,693,NA,NA,NA,593,56,NA,NA,NA,593,5.98
0100700000,BIBB COUNTY,AL,Alabama,South,372,NA,NA,NA,351,3,NA,NA,NA,351,3.78
0100900000,BLOUNT COUNTY,AL,Alabama,South,1101,NA,NA,NA,965,2,NA,NA,NA,965,3.43
0101100000,BULLOCK COUNTY,AL,Alabama,South,435,NA,NA,NA,406,1,NA,NA,NA,406,9.8
0101300000,BUTLER COUNTY,AL,Alabama,South,516,NA,NA,NA,464,0,NA,NA,NA,464,5.44
0101500000,CALHOUN COUNTY,AL,Alabama,South,2594,NA,NA,NA,2415,63,NA,NA,NA,2415,4.95
0101700000,CHAMBERS COUNTY,AL,Alabama,South,838,NA,NA,NA,774,15,NA,NA,NA,774,5.38
0101900000,CHEROKEE COUNTY,AL,Alabama,South,574,NA,NA,NA,522,6,NA,NA,NA,522,4.01
0102100000,CHILTON COUNTY,AL,Alabama,South,754,NA,NA,NA,682,9,NA,NA,NA,682,3.44
0102300000,CHOCTAW COUNTY,AL,Alabama,South,480,NA,NA,NA,452,8,NA,NA,NA,452,6.75
0102500000,CLARKE COUNTY,AL,Alabama,South,805,NA,NA,NA,724,25,NA,NA,NA,724,6.04
0102700000,CLAY COUNTY,AL,Alabama,South,345,NA,NA,NA,324,4,NA,NA,NA,324,4.79
0102900000,CLEBURNE COUNTY,AL,Alabama,South,429,NA,NA,NA,412,4,NA,NA,NA,412,5.24
0103100000,COFFEE COUNTY,AL,Alabama,South,1489,NA,NA,NA,1331,29,NA,NA,NA,1331,5.95
0103300000,COLBERT COUNTY,AL,Alabama,South,1435,NA,NA,NA,1316,2,NA,NA,NA,1316,4.83
0103500000,CONECUH COUNTY,AL,Alabama,South,540,NA,NA,NA,479,20,NA,NA,NA,479,7.85
0103700000,COOSA COUNTY,AL,Alabama,South,217,NA,NA,NA,210,0,NA,NA,NA,210,3.98
0103900000,COVINGTON COUNTY,AL,Alabama,South,1107,NA,NA,NA,1025,0,NA,NA,NA,1025,5.97
0104100000,CRENSHAW COUNTY,AL,Alabama,South,338,NA,NA,NA,314,2,NA,NA,NA,314,4.82
0104300000,CULLMAN COUNTY,AL,Alabama,South,2018,NA,NA,NA,1858,19,NA,NA,NA,1858,4.29
0104500000,DALE COUNTY,AL,Alabama,South,1171,NA,NA,NA,1043,0,NA,NA,NA,1043,5.43
0104700000,DALLAS COUNTY,AL,Alabama,South,1274,NA,NA,NA,1038,0,NA,NA,NA,1038,6.64
0104900000,DEKALB COUNTY,AL,Alabama,South,1337,NA,NA,NA,1283,18,NA,NA,NA,1268,4.26
0105100000,ELMORE COUNTY,AL,Alabama,South,2150,NA,NA,NA,1943,12,NA,NA,NA,1943,4.66
0105300000,ESCAMBIA COUNTY,AL,Alabama,South,829,NA,NA,NA,716,6,NA,NA,NA,716,4.77
0105500000,ETOWAH COUNTY,AL,Alabama,South,2898,NA,NA,NA,2605,149,NA,NA,NA,2605,5.63
0105700000,FAYETTE COUNTY,AL,Alabama,South,316,NA,NA,NA,293,2,NA,NA,NA,293,3.48
0105900000,FRANKLIN COUNTY,AL,Alabama,South,527,NA,NA,NA,464,6,NA,NA,NA,464,3.82
0106100000,GENEVA COUNTY,AL,Alabama,South,470,NA,NA,NA,437,9,NA,NA,NA,437,3.51
0106300000,GREENE COUNTY,AL,Alabama,South,385,NA,NA,NA,372,0,NA,NA,NA,372,9.17
0106500000,HALE COUNTY,AL,Alabama,South,526,NA,NA,NA,386,0,NA,NA,NA,386,5.29
0106700000,HENRY COUNTY,AL,Alabama,South,545,NA,NA,NA,497,10,NA,NA,NA,497,5.31
0106900000,HOUSTON COUNTY,AL,Alabama,South,2554,NA,NA,NA,2278,36,NA,NA,NA,2278,5.11
0107100000,JACKSON COUNTY,AL,Alabama,South,1329,NA,NA,NA,1205,0,NA,NA,NA,1205,5.1
0107300000,JEFFERSON COUNTY,AL,Alabama,South,17854,NA,NA,NA,15841,622,NA,NA,NA,15841,5.28
0107500000,LAMAR COUNTY,AL,Alabama,South,423,NA,NA,NA,398,0,NA,NA,NA,398,5.75
0107700000,LAUDERDALE COUNTY,AL,Alabama,South,2541,NA,NA,NA,2333,0,NA,NA,NA,2333,5.32
0107900000,LAWRENCE COUNTY,AL,Alabama,South,501,NA,NA,NA,446,3,NA,NA,NA,446,2.76
0108100000,LEE COUNTY,AL,Alabama,South,5606,NA,NA,NA,4789,144,NA,NA,NA,4789,6.53
0108300000,LIMESTONE COUNTY,AL,Alabama,South,3363,NA,NA,NA,3151,0,NA,NA,NA,3151,5.89
0108500000,LOWNDES COUNTY,AL,Alabama,South,594,NA,NA,NA,538,0,NA,NA,NA,538,9.43
