state_abbr,state_full,region,jurisdictions,total_registered,total_active,total_turnout,total_mail_sent,total_mail_returned,total_provisional,avg_turnout_rate,avg_mail_return_rate,avg_provisional_rate,state_turnout_rate,state_mail_return_rate
AK,Alaska,West,1,611078,565242,340981,60695,49616,15138,60.32,81.75,97.67,60.32,81.75
AL,Alabama,South,67,3868040,3466606,2272911,140558,0,13355,65.55746268656716,NA,NA,65.57,0
AR,Arkansas,South,75,1835723,1359659,1122278,29173,25976,7085,85.64055555555555,89.87833333333333,45.70108695652174,82.54,89.04
AS,American Samoa,Other,1,15948,15948,10215,207,190,0,64.05,91.79,NA,64.05,91.79
AZ,Arizona,West,15,5075337,4366786,3477975,3582082,2859348,49911,73.26333333333334,71.858,87.25,79.65,79.82
CA,California,West,58,25720597,22836602,16164330,23003434,13185566,327003,74.06620689655172,63.789310344827584,89.31962962962963,70.78,57.32
CO,Colorado,West,64,4583280,4074612,3240754,4090266,3000301,444,80.15359375,74.23296875,49.41638888888889,79.54,73.35
CT,Connecticut,Northeast,169,2520650,2292818,1820891,129996,0,73,83.36816568047337,NA,NA,79.42,0
DC,District Of Columbia,Other,1,612904,469969,328871,453858,169280,1015,69.98,37.3,9.16,69.98,37.3
DE,Delaware,South,3,788441,742370,514367,40728,35475,204,69.58,87.78333333333333,19.41,69.29,87.1
FL,Florida,South,67,15740083,14028831,10999125,3524965,2960238,22095,80.01671641791044,86.34223880597015,32.8725,78.4,83.98
GA,Georgia,South,159,8234335,7174961,5297500,327241,273512,7950,73.1285534591195,88.96641509433962,NA,73.83,83.58
GU,Guam,Other,1,62098,62098,30283,77,54,115,48.77,70.13,56.52,48.77,70.13
HI,Hawaii,West,5,861333,765998,522236,755841,487239,0,68.2425,63.4,NA,68.18,64.46
IA,Iowa,Midwest,99,2256774,2016967,1674011,235170,221210,1315,83.01181818181819,95.36989898989899,43.11506024096386,83,94.06
