fips_code,jurisdiction_name,state_abbr,state_full,region,b1a,b1b,b1c,b5a,b5b,b5c,b11a,b11b,b24a,b24b,b24c,uocava_return_rate,uocava_rejection_rate
0200000000,ALASKA,AK,Alaska,West,12630,8395,4235,12358,8193,4165,9807,6633,196,116,80,79.36,2
6000000000,AMERICAN SAMOA,AS,American Samoa,Other,149,148,1,149,148,1,132,131,4,4,0,88.59,3.03
0400100000,APACHE COUNTY,AZ,Arizona,West,3,2,1,60,59,1,60,59,0,0,0,100,0
0400300000,COCHISE COUNTY,AZ,Arizona,West,579,306,273,579,306,273,341,176,8,3,5,58.89,2.35
0400500000,COCONINO COUNTY,AZ,Arizona,West,657,123,534,665,127,538,586,99,5,2,3,88.12,0.85
0400700000,GILA COUNTY,AZ,Arizona,West,110,44,66,45,20,25,38,19,1,1,0,84.44,2.63
0400900000,GRAHAM COUNTY,AZ,Arizona,West,45,32,13,45,32,13,28,19,0,0,0,62.22,0
0401100000,GREENLEE COUNTY,AZ,Arizona,West,23,18,5,20,15,5,16,11,0,0,0,80,0
0401200000,LA PAZ COUNTY,AZ,Arizona,West,25,7,18,25,7,18,24,7,0,0,0,96,0
0401300000,MARICOPA COUNTY,AZ,Arizona,West,13214,3573,9641,13214,3573,9641,10822,2758,459,165,294,81.9,4.24
0401500000,MOHAVE COUNTY,AZ,Arizona,West,316,136,180,312,135,177,253,114,3,3,0,81.09,1.19
0401700000,NAVAJO COUNTY,AZ,Arizona,West,109,40,69,137,51,86,117,42,0,0,0,85.4,0
0401900000,PIMA COUNTY,AZ,Arizona,West,4816,1207,3609,4833,1113,3720,4455,1028,10,5,5,92.18,0.22
0402100000,PINAL COUNTY,AZ,Arizona,West,760,230,530,709,205,504,462,91,18,4,14,65.16,3.9
0402300000,SANTA CRUZ COUNTY,AZ,Arizona,West,152,25,127,152,23,129,109,19,1,0,1,71.71,0.92
0402500000,YAVAPAI COUNTY,AZ,Arizona,West,1037,248,789,1037,248,789,941,214,4,2,2,90.74,0.43
0402700000,YUMA COUNTY,AZ,Arizona,West,386,212,174,619,337,282,350,193,5,2,3,56.54,1.43
0500100000,ARKANSAS COUNTY,AR,Arkansas,South,3,1,2,3,1,2,2,0,0,0,0,66.67,0
0500300000,ASHLEY COUNTY,AR,Arkansas,South,5,1,4,4,0,4,4,0,0,0,0,100,0
0500500000,BAXTER COUNTY,AR,Arkansas,South,17,15,2,17,15,2,16,14,0,0,0,94.12,0
0500700000,BENTON COUNTY,AR,Arkansas,South,354,113,241,354,113,241,262,89,6,3,3,74.01,2.29
0500900000,BOONE COUNTY,AR,Arkansas,South,27,13,14,27,13,14,22,11,0,0,0,81.48,0
0501300000,CALHOUN COUNTY,AR,Arkansas,South,48,43,5,1,1,0,1,1,0,0,0,100,0
0501500000,CARROLL COUNTY,AR,Arkansas,South,38,9,29,38,9,29,33,7,5,0,5,86.84,15.15
0501700000,CHICOT COUNTY,AR,Arkansas,South,16,12,4,8,5,3,5,4,0,0,0,62.5,0
0501900000,CLARK COUNTY,AR,Arkansas,South,247,237,10,NA,NA,NA,204,5,NA,NA,5,NA,NA
0502100000,CLAY COUNTY,AR,Arkansas,South,6,1,5,6,1,5,5,1,0,0,0,83.33,0
0502500000,CLEVELAND COUNTY,AR,Arkansas,South,7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0502700000,COLUMBIA COUNTY,AR,Arkansas,South,4,3,1,4,3,1,4,3,0,0,0,100,0
0502900000,CONWAY COUNTY,AR,Arkansas,South,13,4,9,13,11,2,10,9,0,0,0,76.92,0
0503100000,CRAIGHEAD COUNTY,AR,Arkansas,South,952,25,927,51,27,24,51,27,22,13,9,100,43.14
0503300000,CRAWFORD COUNTY,AR,Arkansas,South,22,15,7,22,15,7,6,5,0,6,1,27.27,0
0503500000,CRITTENDEN COUNTY,AR,Arkansas,South,21,16,5,21,16,5,12,9,9,7,2,57.14,75
0503700000,CROSS COUNTY,AR,Arkansas,South,8,4,4,8,4,4,7,3,0,0,0,87.5,0
0504300000,DREW COUNTY,AR,Arkansas,South,11,8,3,11,8,3,10,7,0,0,0,90.91,0
0504500000,FAULKNER COUNTY,AR,Arkansas,South,39,20,19,78,29,49,57,18,5,2,3,73.08,8.77
0504700000,FRANKLIN COUNTY,AR,Arkansas,South,7,7,0,7,7,0,7,7,0,0,0,100,0
0504900000,FULTON COUNTY,AR,Arkansas,South,9,9,0,8,8,0,7,7,0,0,0,87.5,0
0505300000,GRANT COUNTY,AR,Arkansas,South,5,5,0,5,5,0,1,1,0,0,0,20,0
0505500000,GREENE COUNTY,AR,Arkansas,South,4,4,0,7,7,0,7,7,0,0,0,100,0
0505700000,HEMPSTEAD COUNTY,AR,Arkansas,South,8,3,5,8,3,5,3,2,0,0,0,37.5,0
0505900000,HOT SPRING COUNTY,AR,Arkansas,South,8,7,1,8,7,1,5,4,0,0,0,62.5,0
0506500000,IZARD COUNTY,AR,Arkansas,South,5,NA,5,5,NA,NA,128,NA,NA,NA,NA,2560,NA
0506700000,JACKSON COUNTY,AR,Arkansas,South,85,82,3,2,2,0,2,2,0,0,0,100,0
